bookID,publisher_id
1,1
2,1
4,1
5,1
8,1
9,2
10,1
12,3
13,4
14,5
16,6
18,7
21,8
22,8
23,8
24,8
25,8
26,9
27,9
28,9
29,9
30,10
31,11
34,11
35,11
36,11
37,11
45,12
50,13
51,14
53,15
54,16
55,17
57,18
58,19
59,20
61,21
63,22
66,23
67,24
68,25
69,26
71,27
72,28
74,29
75,30
76,29
77,29
78,29
79,29
80,29
81,29
83,29
85,31
86,32
89,33
90,34
91,35
92,36
93,37
94,38
96,39
98,40
99,41
100,34
103,42
105,42
106,42
107,43
109,44
110,45
117,42
119,11
122,10
123,46
129,47
130,48
131,49
132,9
133,48
135,50
137,48
138,48
139,48
140,48
141,51
142,52
144,52
147,51
151,53
152,54
153,55
154,56
155,57
156,58
157,59
159,60
160,61
162,55
163,32
164,62
165,63
166,64
168,65
171,66
177,14
180,67
181,68
181,69
182,70
201,71
204,72
205,73
207,74
208,43
213,75
213,76
214,75
214,76
216,75
216,76
230,32
231,77
237,78
244,79
245,80
247,81
249,81
250,81
251,81
252,81
253,82
264,53
269,59
277,83
278,17
280,84
285,85
288,86
289,55
290,87
291,52
292,87
295,37
296,88
297,89
298,90
299,3
302,91
313,92
324,93
330,6
332,94
333,95
337,96
348,97
350,98
354,42
355,97
356,43
357,99
359,97
362,97
367,10
377,71
382,100
385,101
386,102
394,89
397,103
399,63
400,55
403,55
404,104
406,63
407,55
408,32
409,105
410,67
411,67
412,55
413,77
414,53
415,55
416,106
418,53
420,107
421,30
422,108
423,32
424,30
425,108
426,109
428,29
431,53
432,55
434,55
435,110
444,111
446,112
447,55
453,55
454,113
456,55
463,82
466,114
475,55
476,115
477,61
478,89
481,10
484,102
493,116
494,52
497,117
498,118
511,119
515,12
523,56
524,120
531,6
534,121
537,112
538,122
539,10
565,123
570,123
576,124
597,63
599,63
619,125
629,126
639,127
642,9
643,128
650,129
655,130
656,131
658,58
662,132
663,130
664,133
665,54
667,134
668,54
669,54
670,134
672,135
675,15
676,136
678,137
681,138
685,30
698,139
700,140
702,131
703,108
707,141
759,67
762,142
763,143
764,143
765,32
766,142
771,144
775,145
787,146
793,147
797,148
799,147
815,149
816,150
821,151
822,9
823,67
824,152
826,9
827,153
828,153
829,126
830,154
834,155
835,155
840,156
841,156
842,156
848,157
864,158
865,121
866,159
868,159
869,159
870,159
871,159
872,121
873,159
880,136
888,160
890,55
900,161
902,79
903,71
929,144
930,6
931,32
932,162
933,32
935,99
941,163
944,61
955,164
960,99
965,165
966,166
968,167
969,8
972,168
975,99
977,169
980,170
987,171
998,172
1005,173
1007,174
1014,12
1022,175
1032,10
1052,176
1053,177
1059,8
1067,89
1068,55
1073,178
1078,179
1090,180
1097,67
1099,55
1103,6
1110,181
1111,32
1117,10
1120,182
1121,183
1123,184
1130,185
1138,48
1164,186
1167,6
1169,187
1171,55
1177,127
1188,188
1191,189
1192,189
1193,189
1196,189
1197,189
1197,190
1198,189
1198,190
1202,73
1204,191
1206,26
1218,192
1226,149
1226,193
1230,194
1234,55
1241,195
1242,196
1243,9
1246,197
1252,115
1255,198
1265,199
1274,26
1276,26
1281,25
1290,198
1295,125
1296,200
1301,102
1302,201
1303,202
1305,125
1307,152
1312,203
1315,204
1317,125
1318,125
1319,205
1320,206
1322,207
1326,53
1327,131
1328,53
1334,208
1337,209
1338,210
1342,211
1351,210
1354,53
1362,55
1363,53
1364,208
1365,131
1366,53
1367,102
1368,109
1369,178
1371,53
1373,210
1374,29
1375,53
1376,53
1377,130
1378,210
1381,53
1382,29
1383,67
1384,53
1387,130
1391,212
1402,213
1403,214
1405,131
1408,215
1417,216
1419,217
1420,61
1423,218
1424,158
1425,158
1426,158
1427,158
1428,158
1429,158
1431,67
1433,55
1437,56
1438,56
1439,219
1440,213
1441,210
1444,213
1445,210
1449,102
1459,213
1461,220
1462,178
1463,178
1465,178
1466,221
1467,222
1468,178
1470,178
1473,55
1474,223
1475,61
1476,53
1479,131
1480,224
1486,58
1488,102
1489,131
1491,223
1494,131
1495,223
1499,131
1504,225
1506,56
1509,223
1510,223
1511,225
1515,178
1516,178
1517,178
1518,131
1519,53
1521,210
1523,55
1525,29
1526,226
1527,178
1529,61
1530,109
1531,226
1532,58
1533,227
1536,178
1537,132
1538,228
1540,149
1542,55
1546,210
1547,139
1548,55
1549,131
1554,229
1555,230
1558,61
1559,89
1560,132
1561,33
1562,222
1563,226
1566,210
1567,53
1568,231
1568,232
1571,131
1572,223
1572,213
1576,55
1577,233
1579,213
1584,56
1585,131
1586,54
1590,131
1591,210
1592,53
1595,61
1618,32
1620,199
1625,89
1627,63
1633,55
1634,234
1642,235
1643,235
1645,236
1646,235
1654,235
1658,237
1664,237
1667,238
1681,239
1684,6
1685,239
1686,240
1693,241
1693,242
1698,243
1702,55
